OBJECTID,COUNTYNBR,NAME,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
1,20,SANPETE,342,129,83,11,30,5,213,10487.8,3959.3,2539,352.4,909.6,158.3,6528.5,15400.4,4663.7,10736.7,0,2019,Sevier River,317646.921217513,4146734071.41335
2,11,IRON,231,189,131,25,26,7,42,13015.1,10657.1,7368.3,1428.1,1440.1,420.6,2358.1,19417,17039.6,2377.4,0,2019,Lower Colorado River North,433987.568003763,8550446964.4807
3,13,KANE,321,226,152,25,45,5,95,2846.4,2003.1,1346.5,219.2,394.6,42.8,843.4,7803.5,7619.3,184.2,0,2019,Lower Colorado River South,559368.836482366,10631564021.2038
4,29,WEBER,236,104,66,18,7,12,132,69927.4,30766.2,19662.3,5293.9,2126.2,3683.9,39161.1,93049.3,48695,4260.1,40094.2,2019,Weber River,273454.424452544,1707999617.57821
5,19,SAN JUAN,206,139,94,25,19,1,67,1524.8,1025.6,697.2,183.7,140.4,4.3,499.1,4807.9,753.7,0,4054.2,2019,Upper Colorado River,843994.587461074,20538417618.0589
6,09,GARFIELD,721,303,148,94,42,19,418,3566.8,1498.5,730.5,466.8,207.9,93.3,2068.3,4735.9,1793.9,2942,0,2019,Lower Colorado River North,628903.27131737,13481860260.6854
7,17,RICH,1127,1035,647,349,39,0,92,2185.7,2006.4,1255,676.5,74.9,0,179.3,2791.5,1059.2,1725.5,6.8,2019,Bear River,299646.714746513,2811302706.6674
8,22,SUMMIT,249,239,148,49,17,25,10,10537.3,10108.9,6240.6,2085.8,708,1074.5,428.4,37843.6,19167,3782.7,14893.9,2019,Weber River,477619.148740188,4870028430.57396
9,23,TOOELE,201,159,121,20,14,4,42,14282.9,11321.9,8595.2,1411.3,1027,288.4,2961.1,27145.8,22202.1,4927.9,15.8,2019,Salt Lake,574753.079985765,18871961111.7461
10,01,BEAVER,704,214,141,30,13,30,491,4707.1,1428.8,943.1,198.9,86.9,199.9,3278.4,4621.8,3572.3,1049.5,0,2019,Lower Colorado River North,392925.180744149,6696284552.44768
11,02,BOX ELDER,364,296,182,36,32,46,68,22397.1,18214.6,11190.2,2197.3,1993.9,2833.3,4182.5,68205.07,17614.82,19512.85,31077.4,2019,Bear River,569389.513268329,17428638722.2467
12,03,CACHE,269,182,123,28,11,20,86,37792.6,25643.4,17303.1,3983.5,1554.5,2802.2,12149.3,71704.6,42645.8,26010.2,3048.6,2019,Bear River,289984.990756091,3035321841.165
13,24,UINTAH,214,173,128,20,22,3,41,8059.3,6520.4,4812.8,770.4,815.1,122.1,1538.9,22870.8,163.8,6505.7,16201.3,2019,Green River,540619.05537524,11661945608.3434
