OBJECTID,COUNTYNBR,NAME,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
1,13,KANE,304,239,142,43,52,2,65,52,13,0,0,2827.34,2223.77,1321.27,402.29,485.22,14.99,603.57,479.34,120.6,3.63,0,7622.6,7075.2,547.4,0,2015,Lower Colorado River South,559303.30228925,10633026366.9326
2,14,MILLARD,532,342,231,43,47,21,190,181,1,9,0,6058.84,3890.93,2625.44,493.87,532.31,239.31,2167.91,2055.2,11.2,101.51,0,12178.7,8644.4,3534.3,0,2015,Sevier River,582471.707002417,17708258421.8438
3,20,SANPETE,365,140,94,10,31,5,224,188,0,36,0,10444.48,4020.84,2689.5,295.97,895.44,139.94,6423.64,5385.64,0,1038,0,15400.4,4663.7,10736.7,0,2015,Sevier River,317644.123060529,4147631971.9493
4,04,CARBON,273,180,127,22,22,9,92,58,0,34,0,6311.74,4176.07,2951.89,509.57,513.58,201.03,2135.67,1340.13,0,795.54,0,15471,499,4269.9,10702.1,2015,Upper Colorado River,333195.741886639,3843905278.97445
5,25,UTAH,218,132,90,29,9,3,86,65,4,17,0,138471.08,83871.16,57196.84,18713.91,5993.64,1966.77,54599.92,41575.82,2352,10650.1,22,232444,145138.2,50274.9,37031,2015,Provo River,481178.43485114,5544635466.3642
6,03,CACHE,284,207,118,72,10,7,77,56,0,21,0,36855.15,26808.43,15299.48,9301.64,1287.37,919.93,10046.72,7256.87,63.8,2726.05,0,71704.6,42645.8,26010.2,3048.6,2015,Bear River,289950.959576953,3035799087.3603
7,22,SUMMIT,342,253,152,90,10,0,89,34,0,55,0,13969.82,10348.61,6227.23,3695.28,417.27,8.83,3621.21,1380.31,0,2240.9,0,37602.7,18926,3782.7,14893.9,2015,Weber River,476985.932133604,4866989660.9904
8,27,WASHINGTON,303,231,179,33,17,1,72,16,7,49,0,52044.97,39698.94,30799.69,5702.25,2977.5,219.5,12346.03,2751.39,1144.5,8450.14,0,61489.3,25946,8123.4,27420,2015,Lower Colorado River South,347295.034058532,6297852505.03695
9,10,GRAND,313,251,154,76,18,2,62,22,0,40,0,3172.59,2541.9,1563.44,772.89,183.39,22.18,630.69,221.79,0,408.9,0,5702.6,3462.7,2239.9,0,2015,Upper Colorado River,516061.273387557,9538699252.10985
10,24,UINTAH,239,187,146,25,7,9,52,35,0,16,0,9538.54,7470.27,5836.52,1004.64,268.24,360.87,2068.27,1409.57,0,658.7,0,25662.5,183.8,8924.7,16554,2015,Green River,540715.085278807,11669818887.8815
