OBJECTID,COUNTYNBR,NAME,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
1,20,SANPETE,320,134,85,10,33,5,186,9725.9,4071.2,2599,305.9,1009.6,156.7,5654.7,15400.4,4663.7,10736.7,0,2018,Sevier River,317646.921217513,4146734071.41335
2,11,IRON,228,204,148,34,19,3,24,12694,11339.9,8215.6,1904.7,1070.9,148.7,1354.2,19417,17039.6,2377.4,0,2018,Lower Colorado River North,433987.568003763,8550446964.4807
3,13,KANE,264,190,125,23,39,3,74,2928,2111,1383.2,260.5,434.7,32.6,817,7803.5,7619.3,184.2,0,2018,Lower Colorado River South,559368.836482366,10631564021.2038
4,29,WEBER,296,111,72,27,5,8,185,84434.6,31715.4,20436.5,7794,1295,2189.9,52714.4,93049.3,48695,4260.1,40094.2,2018,Weber River,273454.424452544,1707999617.57821
5,19,SAN JUAN,201,149,107,24,17,1,53,1498.4,1107.1,793.4,179.6,129.9,4.2,391.3,4807.9,753.7,0,4054.2,2018,Upper Colorado River,843994.587461074,20538417618.0589
6,09,GARFIELD,706,319,157,99,47,15,387,3466.6,1566.4,772.4,486.1,231.8,76.1,1900.3,4735.9,1793.9,2942,0,2018,Lower Colorado River North,628903.27131737,13481860260.6854
7,17,RICH,1011,905,594,276,35,0,107,2068.4,1850.4,1214.7,564.4,71.3,0,218,2791.5,1059.2,1725.5,6.8,2018,Bear River,299646.714746513,2811302706.6674
8,22,SUMMIT,292,277,181,50,13,34,15,12022.3,11415.1,7455.1,2042,518,1399.9,607.2,37843.6,19167,3782.7,14893.9,2018,Weber River,477619.148740188,4870028430.57396
9,23,TOOELE,242,180,138,21,17,4,62,16795.2,12497.5,9561.2,1483,1161.5,291.7,4297.7,27145.8,22202.1,4927.9,15.8,2018,Salt Lake,574753.079985765,18871961111.7461
10,01,BEAVER,686,236,156,38,12,31,450,4365.1,1499.7,991.1,240.4,74.1,194.1,2865.4,4621.8,3572.3,1049.5,0,2018,Lower Colorado River North,392925.180744149,6696284552.44768
11,02,BOX ELDER,392,328,182,34,54,57,64,23473.3,19621.24,10918.65,2062.68,3209.35,3430.56,3852.05,68205.07,17614.82,19512.85,31077.4,2018,Bear River,569389.513268329,17428638722.2467
12,03,CACHE,296,200,137,31,12,20,96,40754.8,27496.8,18827.7,4288.9,1616.8,2763.4,13258,71704.6,42645.8,26010.2,3048.6,2018,Bear River,289984.990756091,3035321841.165
13,24,UINTAH,254,209,159,16,32,3,45,9298.7,7662.4,5803.4,596.6,1170,92.5,1636.3,22870.8,163.8,6505.7,16201.3,2018,Green River,540619.05537524,11661945608.3434
14,10,GRAND,352,262,156,81,22,3,90,3859.5,2876.6,1710.8,888.1,244.6,33.1,982.9,5702.6,3462.7,2239.9,0,2018,Upper Colorado River,516092.900574089,9539294361.1257
15,27,WASHINGTON,301,218,168,30,17,3,83,62565.5,45247.4,34921.4,6269,3472.4,584.6,17318.1,62451.5,26897.4,8134.1,27420,2018,Lower Colorado River South,347253.908504494,6297924696.18146
16,14,MILLARD,551,346,220,42,63,22,206,6294.6,3946.1,2509.2,474.7,714.4,247.8,2348.4,12178.7,8644.4,3534.3,0,2018,Sevier River,576258.301270673,17708674893.0571
17,26,WASATCH,277,146,117,21,5,3,131,10335.8,5447,4356.7,782.8,181,126.5,4888.8,20200.9,4358.7,3871.8,11970.4,2018,Provo River,332287.394694139,3129885249.16035
18,12,JUAB,317,194,148,19,12,15,122,3680.6,2257.8,1721.4,222.1,134.5,179.8,1422.8,8044.4,3863.8,4180.6,0,2018,Provo River,626586.775978781,8819926149.5783
19,25,UTAH,210,130,89,24,13,4,80,147748,91474.5,63005,16797.8,9024.1,2647.6,56273.5,232444.1,145138.2,50274.9,37031,2018,Provo River,481312.758926752,5544870628.17175
20,07,DUCHESNE,454,305,129,54,11,111,149,9191.6,6171.9,2606.6,1099.6,222.8,2242.8,3019.7,25039.4,4066.7,724.9,20247.8,2018,Green River,394351.618101421,8412584875.52486
