Utah Population Committee- Intercensal Estimates,,,,,,,,,,,,,,
Deaths by County: 2010-2020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,1-Apr,1-Jul,,,,,,,,,,1-Apr
County,Variable,Series,2010 Census,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 Census
Beaver County,Deaths,Intercensal,,13,54,44,60,60,69,60,61,56,60,39
Box Elder County,Deaths,Intercensal,,84,325,318,363,345,403,360,392,422,391,305
Cache County,Deaths,Intercensal,,106,496,466,504,496,508,578,525,592,593,458
Carbon County,Deaths,Intercensal,,59,224,196,235,224,221,230,220,219,211,170
Daggett County,Deaths,Intercensal,,0,5,5,8,11,8,15,12,11,8,7
Davis County,Deaths,Intercensal,,338,1415,1477,1561,1588,1706,1736,1805,1866,1869,1463
Duchesne County,Deaths,Intercensal,,36,135,135,144,114,141,161,137,134,160,124
Emery County,Deaths,Intercensal,,24,80,82,87,105,76,90,111,101,107,73
Garfield County,Deaths,Intercensal,,9,49,56,43,53,33,42,43,68,45,31
Grand County,Deaths,Intercensal,,19,66,91,72,64,83,73,90,86,92,59
Iron County,Deaths,Intercensal,,59,260,287,281,303,283,337,314,332,338,247
Juab County,Deaths,Intercensal,,15,80,71,64,81,72,57,66,88,79,65
Kane County,Deaths,Intercensal,,18,60,69,71,77,85,72,64,80,75,57
Millard County,Deaths,Intercensal,,24,90,96,107,101,88,115,107,100,95,93
Morgan County,Deaths,Intercensal,,13,50,45,64,53,49,60,61,71,70,47
Piute County,Deaths,Intercensal,,1,22,17,10,17,11,19,15,23,21,9
Rich County,Deaths,Intercensal,,6,19,9,7,13,19,11,19,10,19,12
Salt Lake County,Deaths,Intercensal,,1372,5653,5933,6076,6038,6539,6570,6610,6565,6843,5186
San Juan County,Deaths,Intercensal,,16,91,92,68,72,90,94,98,86,116,77
Sanpete County,Deaths,Intercensal,,43,183,177,209,171,183,193,197,194,207,155
Sevier County,Deaths,Intercensal,,51,202,171,184,195,201,189,201,203,211,158
Summit County,Deaths,Intercensal,,34,125,116,148,141,138,168,157,117,159,116
Tooele County,Deaths,Intercensal,,77,308,314,342,306,355,359,367,353,414,291
Uintah County,Deaths,Intercensal,,45,207,196,218,196,237,242,229,247,276,183
Utah County,Deaths,Intercensal,,453,1983,2083,2161,2144,2379,2463,2426,2568,2686,1997
Wasatch County,Deaths,Intercensal,,30,121,105,97,125,122,144,138,132,156,120
Washington County,Deaths,Intercensal,,267,1052,1052,1165,1137,1192,1282,1293,1435,1435,1112
Wayne County,Deaths,Intercensal,,4,19,26,22,36,26,32,20,26,28,12
Weber County,Deaths,Intercensal,,379,1523,1560,1545,1675,1757,1803,1817,1708,1774,1420
State of Utah,Deaths,Intercensal,,3595,14897,15289,15916,15941,17074,17555,17596,17894,18540,14089
